habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,ubicacion,precio
3.0,2.0,1,60,60,3,483333333.0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,683,290000000.0
1.0,2.0,1,56,0,4,803571429.0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,147,450000000.0
1.0,2.0,2,70,105,1,785714286.0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,160,550000000.0
3.0,2.0,1,74,74,4,418918919.0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,108,310000000.0
3.0,2.0,0,55,50,3,4000000.0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,777,220000000.0
3.0,2.0,1,68,68,4,588235294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,400000000.0
3.0,2.0,1,60,60,3,483333333.0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,683,290000000.0
3.0,2.0,0,95,9353,4,405263158.0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,226,385000000.0
3.0,3.0,1,90,90,3,483333333.0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,450,435000000.0
2.0,3.0,2,87,85,5,551149425.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,479500000.0
3.0,2.0,1,86,80,3,372093023.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,658,320000000.0
3.0,3.0,2,120,120,6,581666667.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,800,698000000.0
3.0,3.0,3,212,212,6,561320755.0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,164,1190000000.0
4.0,3.0,2,120,110,5,3332500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,399900000.0
3.0,3.0,3,191,191,6,706806283.0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,245,1350000000.0
2.0,2.0,1,59,59,3,43220339.0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,544,255000000.0
1.0,1.0,1,40,40,3,7000000.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,810,280000000.0
2.0,2.0,2,70,61,4,742857143.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,513,520000000.0
3.0,2.0,1,65,65,4,415230769.0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,605,269900000.0
2.0,1.0,1,63,63,4,396825397.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,127,250000000.0
3.0,2.0,0,110,110,3,218181818.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,344,240000000.0
3.0,3.0,2,120,120,6,566666667.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,160,680000000.0
3.0,3.0,1,75,67,4,4600000.0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,760,345000000.0
1.0,1.0,1,33,33,3,727272727.0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,151,240000000.0
3.0,2.0,0,51,51,2,235098039.0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,69,119900000.0
2.0,1.0,1,49,0,3,591836735.0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,697,290000000.0
3.0,2.0,0,55,50,3,4000000.0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,777,220000000.0
3.0,2.0,1,60,60,4,566666667.0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,731,340000000.0
2.0,1.0,1,52,52,4,403846154.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,116,210000000.0
2.0,2.0,1,61,0,4,557377049.0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,300,340000000.0
4.0,5.0,4,200,0,5,4900000.0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,125,980000000.0
4.0,3.0,1,90,0,4,4000000.0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,127,360000000.0
3.0,3.0,1,150,150,6,653333333.0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,345,980000000.0
3.0,2.0,1,74,74,4,418918919.0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,108,310000000.0
3.0,2.0,0,60,60,3,3800000.0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,550,228000000.0
3.0,3.0,3,191,191,6,706806283.0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,245,1350000000.0
2.0,2.0,1,67,57,4,462686567.0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,74,310000000.0
4.0,4.0,2,136,128,4,6250000.0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,448,850000000.0
2.0,3.0,2,94,94,4,585106383.0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,125,550000000.0
3.0,2.0,1,78,78,4,512820513.0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,801,400000000.0
3.0,2.0,0,95,9353,4,405263158.0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,226,385000000.0
3.0,1.0,0,4941,49,3,380489779.0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,191,188000000.0
3.0,4.0,2,170,270,6,758823529.0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,668,1290000000.0
3.0,2.0,1,86,80,3,372093023.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,658,320000000.0
3.0,2.0,1,785,0,4,458598726.0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,311,360000000.0
3.0,2.0,1,65,0,3,538461538.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,350000000.0
3.0,3.0,3,250,240,6,7000000.0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,426,1750000000.0
1.0,2.0,1,59,59,6,881355932.0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,588,520000000.0
3.0,3.0,2,113,0,5,574336283.0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,51,649000000.0
4.0,6.0,4,55698,530,6,1256777622.0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,647,7000000000.0
3.0,3.0,1,88,81,4,585227273.0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,40,515000000.0
1.0,2.0,2,95,0,6,9000000.0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,245,855000000.0
3.0,2.0,3,130,0,4,676923077.0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,558,880000000.0
4.0,3.0,2,140,140,6,678571429.0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,620,950000000.0
3.0,5.0,4,420,420,6,369047619.0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,349,1550000000.0
3.0,1.0,0,51,46,3,411764706.0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,197,210000000.0
2.0,3.0,2,156,156,6,608974359.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,345,950000000.0
3.0,2.0,2,94,0,4,508510638.0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,538,478000000.0
