car_model,price,year_model,kms
Renault Duster 1.6 Dynamique,$56.800.000,2018,44476
Renault Duster 1.3 T Iconic Cvt,$105.500.000,2024,0
Renault Oroch Cargo,$104.300.000,2024,0
Duster,$77.000.000,2022,48000
Renault Duster Iconic Cvt 1.3 Tce Modelo 2024,$99.990.000,2024,0
Renault Duster 2.0 Dynamique 4x2,$53.900.000,2018,33800
Renault Duster 1.3 T Iconic Mt 4X4,$104.000.000,2024,0
Renault Oroch Outsider 1.3 Turbo,$109.900.000,2024,0
Renault Duster Oroch 2.0 Dynamique,$69.000.000,2020,46500
"Renault Duster 2019 4x4 2,0 Polar ",$59.500.000,2019,53000
Renault Duster  Dakar 2015,$44.500.000,2015,95000
Renault Duster 1.6 Intense,$55.000.000,2021,193955
Renault Duster 1.6 Expression Mecánica,$60.000.000,2020,153000
Renault Duster 2.0 Dynamique 4x4,$52.500.000,2016,51643
Renault Oroch Zen Turbo ,$103.700.000,2022,0
"Renault Duster Zen 2024 (pública) Servicio Especial,  0 Kms",$76.700.000,2024,0
Renault Duster 1.6 Dynamique,$50.000.000,2018,97187
Renault Duster 1.6 Zen,$84.900.000,2022,0
Renault Duster Oroch Outsider 4x4 1300cc Turbo Mt,$106.000.000,2024,30
Renault Duster 2.0 Dynamique 4x4,$72.000.000,2018,20200
Renault Duster Oroch Doble Cabina  2.0,$55.800.000,2017,62000
Renault Duster 2.0 Dynamique 4x2,$58.500.000,2019,46500
Renault Duster 1.3 Intense Mt 4x4 Outsider,$102.800.000,2022,0
Renault Duster Oroch 2.0 Dynamique,$89.000.000,2024,4500
Renault Duster 2.0 Dynamique 4x2,$65.000.000,2021,16000
Renault Duster 2.0 Dinamic Autom..,$56.500.000,2019,65000
Renault Duster 1.6 Zen,$75.800.000,2023,20000
Renault Duster 1.3 Intense Mt 4x4,$83.500.000,2022,40000
Renault Duster 1.6 Expression Mecánica,$40.000.000,2013,106000
Renault Duster 1.6 Expression Mecánica,$42.900.000,2015,99000
Renault Duster 2.0 Dynamique 4x2,$55.000.000,2017,51800
Renault Duster Zen,$86.000.000,2024,0
Renault Duster 1.6 Zen,$71.900.000,2023,30000
Renault Duster 1.6 Zen,$76.000.000,2022,29900
Renault Duster 1.3 Intense Cvt,$74.900.000,2022,35000
Renault Duster Zen Mecánica,$86.990.000,2024,7000
Renault Duster 2.0 Automática Full ,$37.900.000,2013,94000
Renault Duster 1.3 Intense Mt 4x4,$80.000.000,2022,32800
Renault Duster 2.0 Dynamique 4x2,$47.100.000,2017,78000
Renault Duster 2.0 Dynamique 4x2,$65.000.000,2021,42000
Renault Duster 1.3 T Iconic Cvt,$91.500.000,2023,5050
Renault Duster 1.6 Expression Mecánica,$42.600.000,2015,95000
Renault Duster 2.0 Dynamique 4x4,$44.900.000,2014,124000
Renault Duster 1.6 Zen,$69.900.000,2023,60000
Renault Duster Oroch 2.0 Intens,$74.000.000,2022,23500
Renault Duster 1.6 Intense,$60.800.000,2021,54000
Renault Duster 1.3 T Iconic Mt 4X4,$100.000.000,2024,10600
Renault Duster 1.6 Zen,$65.000.000,2021,104740
Renault Duster 1.3 T Iconic Cvt,$88.900.000,2023,19100
Renault Duster Dynamique 4x2,$58.900.000,2019,48000
Renault Duster 1.3 Intense Cvt,$92.500.000,2023,12600
Renault Duster 1.3T MT 4x4,$74.900.000,2022,34000
Renault Duster Oroch 2021,$69.800.000,2021,47000
Renault Duster 1.6 Zen Mt,$75.000.000,2023,12000
Renault Sandero Gt Line 2013,$29.900.000,2013,58000
Renault Duster Oroch 2.0 Dynamique,$54.000.000,2017,109000
Renault Duster 2.0 Dynamique 4x2,$39.000.000,2013,125000
Renault Duster 1.3 Intense Mt 4x4,$80.000.000,2022,60000
Renault Duster 1.6 Dynamique,$41.000.000,2017,269447
Renault Duster 2.0 Dynamique 4x4,$64.700.000,2021,94000
Renault Duster 2.0 Dynamique 4x2,$50.900.000,2017,70000
Renault Duster Dynamique 2.000cc a/t c/a 2014,$45.900.000,2014,80000
Renault Duster Oroch 2.0 Intens,$74.000.000,2022,33300
Renault Duster 2.0 Dakar 4x4,$54.990.000,2017,99502
Renault Duster 2.0 Dynamique 4x2,$62.990.000,2019,41571
Renault Duster 1.6 Expression Mecánica,$47.500.000,2016,104000
Renault Duster 2.0 Dynamique 4x2,$58.000.000,2018,31315
Renault Duster 2.0 Dynamique AT 4x2,$44.900.000,2015,77988
Renault Duster 2.0 Dynamique 4x4,$59.500.000,2020,58000
Renault Duster Oroch 2.0 Intens,$70.500.000,2021,55000
Renault Duster 1.6 Dynamique,$53.900.000,2018,190000
Renault Duster 2.0 Dynamique 4x2,$58.000.000,2020,61000
Renault Duster Oroch Intens 4x4 2000icc Mt Aa Ab Abs Dh Fe,$76.500.000,2020,53000
Renault Duster 1.6 Expression Mecánica,$47.500.000,2016,104000
Renault Duster 2.0 Dynamique 4x4,$52.000.000,2013,15800
Renault Duster 1.6 Dynamique,$54.000.000,2018,37213
Renault Duster 1.6 Expression Automática,$45.000.000,2014,126052
Renault Duster 2.0 Dynamique 4x4,$65.000.000,2018,75000
Renault Duster 2.0 Dynamique 4x2,$60.000.000,2017,32000
Renault Duster Oroch dynamique 4x4,$67.900.000,2019,52000
Renault Duster 1.3 Intense Mt 4x4,$79.700.000,2022,43700
Duster Intens Tp 1300cc T 4x2,$83.000.000,2023,44000
Renault Duster 2.0 Dynamique 4x4,$65.000.000,2019,78000
Renault Duster Expression,$47.900.000,2015,62000
Renault Duster 1.6 Intense Mt,$79.900.000,2024,16260
Renault Duster 2.0 Dynamique 4x2,$64.000.000,2021,34241
Renault Duster ICONIC AT 1300CC 4X2,$92.000.000,2023,66000
Renault Duster 1.6 Expression Mecánica,$61.800.000,2020,100000
Renault Duster 2.0 Dynamique 4x2,$39.500.000,2013,130000
Renault Duster 2.0 Dynamique 4x4,$78.000.000,2021,10
Renault Duster Oroch 2.0 Intens,$84.500.000,2021,22000
Renault Duster 1.3 Intense Mt 4x4,$76.000.000,2022,50500
Renault Duster (2) Intens Mt 1600cc 4x2 / Ljp886,$97.570.000,2024,9943
Renault Duster 2.0 Dynamique 4x2,$39.000.000,2013,84000
Renault Duster Zen 4x2,$75.000.000,2023,43000
Renault Duster Tripadvisor Advance 2.0 4x4 Color Perla,$64.500.000,2018,73480
Renault Duster 2.0 Dynamique 4x4,$52.000.000,2017,117462
Renault Duster 2.0 Dynamique 4x2,$75.000.000,2020,100000
Renault Duster 1.3 Intense Cvt,$81.800.000,2022,41768
Renault Duster Oroch 2.0 Dynamique,$68.900.000,2020,75800
Renault Duster Oroch 2.0 Expression,$80.000.000,2022,54000
Renault Duster 1.3 Intense Cvt,$66.000.000,2022,68000
Renault Duster 2.0 Dynamique 4x2,$43.900.000,2016,141224
Renault Duster Oroch Zen 4x2,$69.000.000,2021,33850
Renault Duster 2.0 Dynamique 4x4,$67.800.000,2021,50000
Renault Duster 2.0 Dynamique 4x2,$47.000.000,2016,95000
Renault Duster Oroch Dakar,$53.000.000,2018,154000
Dynamique Intens 2.0 4x2 ,$55.500.000,2019,74000
Renault Duster 2.0 Mt 4x4,$57.000.000,2020,95300
Renault Duster Oroch,$103.500.000,2023,6255
Renault Duster DYNAMIQUE/INTENS,$63.000.000,2019,89614
Renault Duster 1.6 Intens,$88.000.000,2024,4891
Renault Duster Mecánica 2.0 4x4 Edicion Especial 50 Años,$60.000.000,2020,82000
Renault Duster Oroch Mecánica 4x4  Fe 2.0,$70.500.000,2021,51000
Renault Duster 1.6 Expression Mecánica,$53.500.000,2018,85300
Renault Duster 1.6 Intense Mt,$89.500.000,2024,10
Renault Duster Mecánica Dynamique,$48.500.000,2016,83000
Renault Duster 1.3 T Iconic Mt 4X4,$97.900.000,2024,1821
Renault Duster 1.3 Intense Mt 4x4,$81.900.000,2022,50100
Renault Duster 1.3 T Iconic Mt 4X4,$91.900.000,2024,33400
Renault Duster 1.3t TCE Iconic At,$91.900.000,2024,7300
Renault Duster ICONIC 1.3 TURBO,$98.400.000,2024,3085
Renault Duster 1.3 Intense Mt 4x4,$79.900.000,2022,63000
Renault Duster Oroch Cargo 1.3t 4x4 2024,$96.200.000,2024,0
Renault Duster ZEN 1.6 MT,$88.400.000,2024,0
"Renault Duster OROCH DYNAMIQUE MEC 2,0 4X2",$59.800.000,2020,80732
Renault Duster 1.3 Intense Mt 4x4,$77.900.000,2022,23000
Renault Duster 1.6 DYNAMIQUE INTENS,$74.900.000,2021,51000
Renault Duster 2.0 Polar Intens Mt,$61.900.000,2020,63590
Renault Duster Oroch 2.0 Intens,$77.900.000,2022,30000
Renault Duster 2.0 Dynamique 4x4,$61.900.000,2019,62000
Renault Duster Oroch Intens 1.3 Automatica 4x2 Gasolina,$92.900.000,2023,15300
Renault Duster 1.3t Outsider 2022,$87.900.000,2022,12900
Renault Duster INTENS AT,$78.000.000,2023,59489
Renault Duster 1.6 Expression Mecánica,$54.800.000,2018,72000
Renault Duster 2.0 Dynamique 4x2,$59.900.000,2017,70400
Renault Duster INTENS FE AUT 1.3,$84.000.000,2022,18500
Renault Duster 2.0 Dynamique 4x2,$45.900.000,2015,126000
Renault Duster 2.0 4x4 Mecánica Polar ,$57.500.000,2019,56000
Renault Duster Oroch 2.0 Expression,$65.500.000,2021,62400
Renault Duster Oroch 2.0 Dynamique,$70.500.000,2018,37180
Renault Duster INTENS TP 1.3 CC T 4X2,$74.800.000,2022,20000
Renault Duster 1.3 Iconic Aut,$97.500.000,2024,0
Renault Duster DINAMIQUE,$44.900.000,2014,52236
Renault Duster 2.0 Dynamique 4x4,$41.990.000,2016,155500
Renault Duster 2.0 Dynamique 4x2,$53.900.000,2017,58000
Renault Duster 1.3 Intense Cvt,$84.500.000,2022,40000
Renault Duster Oroch EXPRESSION MT 2.0 cc,$54.900.000,2018,103000
Renault Duster Dynamique,$50.500.000,2015,58000
Renault Duster 1.3 Intense Mt 4x4,$84.900.000,2023,32000
Renault Duster 1.6 Expression Mecánica,$40.500.000,2015,96000
Renault Duster 1.3 Intense Mt 4x4,$113.000.000,2023,532
Renault Duster 2.0 Dynamique 4x4,$57.000.000,2016,71296
Renault Duster ICONIC,$100.000.000,2024,0
Renault Duster 2.0 Dynamique 4x4,$54.000.000,2016,85000
Duster Iconic Cvt 1.3 Turbo-2024-llevala En Excelente Precio,$101.900.000,2024,0
Renault Duster 2.0 Dynamique 4x4,$56.300.000,2019,111000
Renault Duster 2.0 Dynamique 4x2,$67.000.000,2021,42000
Renault Duster 2.0 Dynamique,$60.900.000,2019,158173
Renault Duster 1.3 T Iconic Cvt,$89.900.000,2023,19100
Renault Duster Dynamic Cc2000 Mecanica 4x4 Gasolina 143 Hp,$75.800.000,2021,42500
Duster Intens Mt 4x2 1.6-2024-llevala Con Excelente Precio!!,$87.900.000,2024,0
Renault Duster Iconic 1.3,$102.000.000,2024,2000
Renault Duster 1.3 t,$92.800.000,2024,17800
Renault Duster Intens 1.6,$85.000.000,2024,10000
Renault Duster 2.0 Dynamique 4x4,$75.900.00011% OFF,2021,52598
Renault Duster Zen,$83.000.000,2022,12000
 Duster Zen Cvt 4x2,$90.000.000,2022,54937
Renault Duster Cc1600 4x2 Mecanica Gasolina 114 Hp ,$78.400.000,2023,23000
Duster Tripadvisor,$65.000.000,2018,80125
