car_model,price,year_model,kms
Kia Rio zenith 1.4,$77.000.000,2023,37800
Kia Rio Hb 1.4 MT,$65.900.000,2023,37730
Kia Rio 1.4 Vibrant Mt,$65.000.000,2020,42800
Kia Rio 1.4 Vibrant Mt,$55.900.000,2018,65897
Kia Rio 1.4 Vibrant Hb 5 p,$77.990.000,2023,1800
Kia Rio Vibrant 1.4,$75.000.000,2023,10300
Kia Rio Emotion 1.4,$68.000.000,2022,24000
Kia Rio 1.25 5 p,$47.900.000,2017,96434
Kia Rio,$29.900.000,2011,159000
Kia Rio R,$37.500.000,2014,137000
Kia Rio Spice R 1.4,$38.900.000,2015,71000
Kia Rio 1.4,$32.900.000,2013,115000
Kia Rio VIBRANT,$46.900.000,2018,79000
Kia Rio 1.4 5 p,$30.900.000,2013,100000
Kia Rio ,$31.500.000,2012,108000
Kia Rio 1.4 4 p,$47.900.000,2016,80900
Kia Rio 1.4,$57.500.0002% OFF,2018,92200
Kia Rio 1.4 Vibrant At,$62.500.000,2022,26900
Kia Rio 1.4 Vibrant Hb 5 p,$63.500.0002% OFF,2022,32310
Kia Rio 2018,$48.800.000,2018,62000
Kia Rio 1.4 5 p,$44.900.000,2014,91000
Kia Rio 1.25 4 p,$45.990.000,2016,79000
Kia Rio 1.25,$43.900.000,2015,75900
Kia Rio 1.4 Vibrant Mt,$72.900.000,2022,28321
Kia Rio EMOTION,$66.000.000,2023,19995
Kia Rio 1.5 Stylus,$25.900.000,2011,62000
Kia Rio,$37.000.000,2013,118600
Kia Rio Spice 1.2,$41.000.000,2015,97600
Kia Rio 1.4 Vibrant Mt,$52.500.000,2019,52200
Kia Rio Vibrant  mecánico,$75.490.000,2024,0
Kia Rio 1.2 5 p,$39.500.000,2014,63000
Kia KIA RIO ZENITH KIA RIO ZENITH AX,$75.500.000,2023,16000
Kia Rio Spice R Automatico 2016,$47.900.000,2016,75000
Kia Rio 1.4 Vibrant Mt,$52.900.000,2019,56000
Kia Rio 1.4 Vibrant Hb 4 p,$62.900.000,2022,42500
Kia Rio 1.4 Automático,$49.800.000,2016,50800
Kia Rio 1.25 5 p,$44.000.000,2016,72500
Kia Rio Spice 1.2,$39.700.000,2015,128000
Kia Rio 1.4 4 p Automática,$49.900.000,2017,45700
Kia Rio 1.2 5 p,$38.500.000,2014,95000
Kia Rio 1.4 Vibrant Mt,$49.900.000,2018,75000
Kia Rio 1.25 5 p,$44.900.000,2017,30835
Kia Rio Vibrant Sedan 1.4 At,$61.000.000,2021,32600
Kia Rio 1.4 4 p Mecánica,$46.800.000,2017,46500
Kia Rio Hb,$27.500.000,2007,104000
Kia Rio 1.4 Vibrant Hb 5 p,$63.900.000,2023,30000
Kia Rio 1.4 Vibrant Mt,$63.000.000,2022,25802
Kia Rio 1.4 Zenith Hb 5 p,$65.800.000,2020,31000
Kia Rio 1.2 4 p,$36.900.000,2014,106000
Kia Rio 1.4 Vibrant At,$68.900.000,2023,23000
Kia Rio 1.4 Vibrant Mt,$54.900.000,2019,29700
Kia Rio 1.4 Vibrant At,$62.900.000,2022,30000
Kia Rio 1.4 Vibrant At,$70.000.000,2023,22000
Kia Rio 1.4 Vibrant Mt,$64.900.000,2023,28900
Kia Rio 1.4 4 p,$49.500.000,2016,46000
Kia Rio 1.4 4 p,$39.500.000,2014,129000
Kia Rio 1.4 Zenith Hb 5 p,$60.000.000,2020,82949
Kia Rio 1.4 VIBRANT HB AT,$65.900.000,2023,43900
Kia Rio R 1.25,$45.000.000,2017,60000
Kia Rio Sedan Automátic,$62.000.000,2021,38000
Kia Rio 1.4 4 p,$40.900.000,2013,86850
Kia Rio 1.4 4 p,$37.000.000,2013,95000
Kia Rio 1.4 4 p 95 hp,$24.000.000,2012,150000
Kia Rio 1.4,$55.700.000,2018,64500
Kia Rio 1.4 Zenith Hb 5 p,$64.000.000,2021,49000
Kia Rio 1.4 4 p Automática,$51.000.000,2017,45825
Kia Rio Spice 2017,$47.000.000,2017,96094
Kia Rio Ubx Mec 2016,$41.000.000,2016,100600
Kia Rio 1.4 Vibrant Hb 5 p,$62.000.000,2020,33000
Kia Rio 1.2 5 p,$39.900.000,2014,115729
Kia Rio Sedán Ub Ex,$40.900.000,2016,102000
Kia Rio 1.4 Vibrant Hb 4 p,$62.000.000,2020,42499
Kia Rio 1.5 Stylus,$28.900.000,2015,65000
Kia Rio 1.4 4 p Automática,$55.000.000,2017,88000
Kia Rio 1.4,$61.000.000,2019,39000
Kia Rio 1.4 Vibrant Hb 4 p,$59.900.000,2021,19995
Kia Rio 1.4,$59.500.000,2018,49000
Kia Rio 1.5 Stylus,$24.900.000,2012,140000
Kia Rio 1.5 Hb,$8.300.000,2001,200000
Kia Rio Xcite,$29.000.000,2012,104614
Kia Rio 1.4 5p AUTOMÁTICO,$39.900.000,2014,99000
Kia Rio Spice 1.4cc Con Caja De 6,$34.800.000,2013,118000
Kia Rio 1.4 4 p,$49.000.000,2016,80900
Kia Rio R R,$43.999.000,2016,66000
Kia Rio Spice R 1.4,$52.900.000,2017,59849
Kia Rio 1.5 Stylus,$27.900.000,2015,75000
Kia Rio Spice 1.4 Tp 1400cc 5p 2ab Ct Cr R17 2015,$45.000.000,2015,93485
Kia Rio 1.4 Vibrant At,$62.900.000,2021,37000
Kia Rio 1.4,$38.900.000,2013,111098
Kia Rio 1.5 Stylus,$22.500.000,2011,157852
Kia Rio 1.4 Vibrant At,$53.800.000,2019,68000
Kia Rio 1.25 4 p,$41.000.000,2016,90000
Kia Rio 1.4 Vibrant Hb 4 p,$59.000.000,2020,50059
Kia Rio 1.4 Sedán Vibrant 1.400 cc. Automático,$69.500.000,2022,43400
Kia Rio Spice Rio Spice 1.25 Mecan,$43.900.000,2016,79000
Kia Rio Spice 1.2 Sedan,$39.500.000,2014,97000
Kia Rio 1.25 5 p,$47.800.000,2017,88700
Kia Rio Vivrant,$62.900.000,2022,27000
Kia Rio 1.4 Zenith Hb 5 p,$76.900.000,2023,5100
Kia Rio Spice R Spice R,$48.900.000,2016,81700
Kia Rio Sedán Mecánico 1250,$43.900.000,2016,101600
Kia Rio 1.4,$57.900.000,2021,27120
Kia Rio 1.4 5 p,$50.900.000,2016,75100
Kia Rio 1.4 Sc Hb,$53.000.000,2018,56000
Kia Rio 1.4 Vibrant Mt,$52.500.000,2018,55473
Kia Rio 1.25 5 p,$43.900.000,2016,85000
Kia Rio 1.25 5 p,$46.000.000,2017,41000
Kia,$43.490.000,2016,102000
Kia Rio 1.4 Vibrant Hb 4 p,$65.000.000,2020,50000
Kia Rio 1.25,$44.000.000,2015,109341
Kia Rio 1.4 Vibrant At,$62.990.000,2022,30000
Kia Rio Spice Mecánico 1400,$40.900.000,2014,104000
Kia Rio 1.5 Stylus,$29.500.000,2015,82000
Kia Rio 1.4 Vibrant At,$59.900.000,2021,22500
Kia Rio (r) Triptonico 1.4 Sedan Full,$45.900.000,2017,66220
Kia Rio Spice Rio Spice,$35.600.000,2013,160000
Kia Rio 1.4 4 p,$38.000.000,2013,117579
Kia Rio Spice Mecanico Modelo 2014,$42.000.000,2014,67000
Kia Rio 1.4 Zenith Hb 4 p,$72.000.000,2022,45000
Kia Rio 1.4 Mecanico,$44.000.000,2015,122000
Kia Rio 1.4 4 p,$47.000.000,2016,68000
Kia Rio 1.4 Vibrant At,$63.900.000,2023,9100
Kia Rio Sedan,$43.000.000,2015,85800
Kia Rio Spice 1.368cc,$49.000.000,2018,63000
Kia Rio Spice Mecánico 1400,$37.900.000,2014,136000
Kia Rio 1.2 5 p,$38.500.000,2014,126000
Kia Rio 1.4 Vibrant Mt,$58.000.000,2020,46000
Kia Rio 1.4 Vibrant Mt,$54.500.000,2018,49000
Kia Rio R Rio R,$48.900.000,2016,66000
Kia Rio 1.4L Vibrant AT,$56.900.000,2018,40300
Kia Rio 1.4,$51.500.000,2018,58000
Kia Rio 1.5 Stylus,$22.800.000,2012,103492
Kia Rio 1.4 Vibrant Hb 5 p,$52.500.000,2019,79642
Kia Rio 1.25,$40.900.000,2015,90000
Kia Rio 1.4 5 p,$30.500.000,2013,90000
Kia Rio Zenith 1400 Cc M/t Sun Roof 2021,$61.000.000,2021,43000
Kia Rio 1.4,$56.000.000,2018,96000
Kia Rio 1.4 4 p 109 hp,$37.900.000,2012,81000
Kia Rio 1.4 Sc Hb,$52.500.000,2018,68000
Kia Rio 1.4 Vibrant Mt,$62.000.000,2023,15700
Kia Rio 1.4 Vibrant Mt,$56.000.000,2020,46000
Kia Rio 1.2 4 p,$42.500.000,2015,96351
Kia Rio 1.250 Mecanico Sdn,$47.900.000,2018,87000
Kia Rio 1.4 Zenith Hb 5 p,$63.500.000,2020,59500
Kia Rio Zenith 1.4,$57.500.000,2018,34000
Kia,$40.980.000,2015,107000
Kia Rio 1.2 4 p,$37.000.000,2014,120224
Kia Rio 1.4 4 p Mecánica,$43.000.000,2017,100000
Kia Rio 1.6 4 p,$28.800.000,2010,100000
Kia Rio 1.4 Vibrant Hb 4 p,$59.500.000,2020,41000
Kia Rio 1.4 Mecanico,$43.900.000,2015,166000
Kia Rio 1.6 4 p,$29.500.000,2012,61400
Kia Rio 1.2 4 p,$40.200.000,2014,107000
Kia Rio 1.4 Vibrant Hb 5 p,$62.000.000,2020,52486
Kia Rio R Kia Rio R,$38.000.000,2014,137800
Kia Rio 1.4 Sc Hb,$58.000.000,2018,45000
Kia Rio Sedán 2023,$66.000.000,2023,23900
Kia Rio Automático Sedan 1.4,$56.900.000,2018,39000
Kia Rio 1.4 Vibrant Mt,$50.000.000,2018,94000
Kia Rio 1.2 4 p,$39.900.000,2014,102000
Kia Rio vibrant,$49.000.000,2018,83000
Kia Rio Spice R 1.4,$46.500.000,2017,90000
Kia RIO UB EX 1.4,$53.000.000,2017,58673
Kia Rio ZENITH AUTOMÁTICO,$72.500.000,2022,20000
Kia Rio 1.4 Zenith Hb 5 p,$73.000.000,2023,10000
Kia Rio 1.2 4 p,$34.500.000,2014,128000
Kia Rio 1.4 5 p,$40.000.000,2013,133000
Kia Rio Spice 1.4 Aut Vibrant 2023,$69.900.000,2023,21000
Kia Rio 1.6 5 p,$27.000.000,2011,260290
Kia Rio 1.4 Vibrant At,$65.500.000,2023,26070
Kia Rio 1.4 5 p,$46.000.000,2016,105000
Kia Rio 1.4 Sc Hb,$51.500.000,2018,51900
Kia Rio Mecánico ,$65.800.000,2023,20000
Kia Rio Spice R Summa 1.4,$47.000.000,2017,67000
Kia Rio 1.4 Vibrant Mt,$65.800.000,2023,20000
Kia Rio 1.25,$38.900.000,2015,104639
Kia Rio Spice 1.2,$47.000.000,2015,52500
Kia Rio R Ub X 1.250,$49.900.000,2018,104000
Kia Rio 1.25,$41.500.000,2015,60000
Kia Rio Spice Spice,$40.500.000,2016,110000
Kia Rio 1.2 4 p,$55.000.000,2017,63000
Kia Rio 1.4 4 p,$30.000.000,2012,99800
Kia Rio 1250 4 P,$38.900.000,2014,102000
Kia Rio 1.2 4 p,$43.800.000,2015,73000
Kia Rio 1.4 Emotion Hb,$51.000.000,2019,70000
Kia Rio 1.4 Vibrant Hb 5 p,$55.500.000,2019,50000
Kia Rio 2015,$70.000.000,2015,293500
Kia Rio 1.5 Stylus,$26.500.000,2012,62725
Kia Rio 1.4 5 p,$36.000.000,2013,105000
Kia Rio 1.2,$49.000.000,2016,54000
Kia Rio 1.25 5 p,$46.000.000,2016,90000
Kia Rio 1.5 Stylus,$24.500.000,2012,73666
Kia Rio 1.4 Sc Hb,$47.000.000,2018,55000
Kia Rio 1.4 Vibrant Hb 5 p,$70.000.000,2023,7000
Kia Rio 1.4 4 p,$31.000.000,2012,244000
Kia Rio R 1.25,$50.000.000,2017,80000
Kia Rio R 1.25,$46.500.000,2017,82000
Kia Rio 1.4 Zenith Hb 5 p,$59.500.000,2019,50700
Kia Rio 1.4 4 p,$43.900.000,2014,71500
Kia Rio 1.5 Stylus,$30.000.000,2016,65000
Kia Rio 1.4,$59.000.000,2021,52000
Kia Rio 1.4 5 p,$42.000.000,2014,81000
Kia Rio 1.4 Zenith Hb 5 p,$60.000.000,2019,61500
Kia Rio 1.5 Stylus,$30.000.000,2016,81000
Kia Rio Spice R Summa 1.2,$50.000.000,2017,75000
Kia Rio 1.2 4 p,$38.900.000,2014,106000
Kia Rio 1.4,$65.000.000,2020,24000
Kia Rio Spice 1.2,$38.000.000,2015,108000
Kia Rio Spice Rio Spice ,$40.000.000,2014,90000
Kia Rio Spice 1.2,$38.000.000,2015,108000
Kia Rio 1.6 Sport 4 p,$36.000.000,2010,78000
Kia Rio 1.4 Zenith Hb 4 p,$61.000.000,2021,62000
