car_model,price,year_model,kms
Chevrolet Onix 1.0t Mecánica,$62.000.000,2021,14000
Chevrolet Onix 1.4 Premier Turbo At,$70.500.000,2023,9200
Chevrolet Onix lt 1.0,$64.000.000,2023,12600
Chevrolet Onix 1.0T RS mecánico,$57.900.000,2021,56500
Chevrolet Onix 1.0 T mecanico,$59.900.000,2021,40000
Chevrolet Onix 1.0t Mecánica,$56.500.000,2021,45400
Chevrolet Onix 1.0T Rs Mt,$80.990.000,2023,0
Chevrolet Onix Modelo 2021,$57.000.000,2021,59000
Chevrolet Onix 1.4 Ltz Mecánica,$39.500.000,2017,110500
Chevrolet Onix Hb Ltz Mt,$53.900.000,2020,32712
Chevrolet Onix 1.0T Rs Mt,$59.900.000,2022,35000
Chevrolet Onix 1.4 Lt,$63.900.000,2023,20000
Chevrolet Onix 1.4 Activ Mt,$42.900.000,2018,44700
Chevrolet Onix 1.0T Rs Mt,$61.500.000,2022,9000
Chevrolet Onix Lt Turbo 2023 ,$62.500.000,2023,10000
Chevrolet Onix 1.0T Rs Mt,$78.990.000,2023,0
"Chevrolet Onix LTZ AUT 1,4",$48.900.000,2019,56943
Chevrolet Onix ltz 1.4,$38.950.000,2016,74000
Chevrolet Onix Premier 1.0 Turbo,$71.900.000,2023,25500
Chevrolet Onix 1.4 Ltz,$38.900.000,2016,73000
Chevrolet Onix 1.4 Ltz 5 p,$40.500.000,2018,70000
Chevrolet Onix Hb Ltz Mt 1.4l,$53.900.000,2020,33055
Chevrolet Onix LT TURBO MT 1.0L,$62.900.000,2023,36035
Chevrolet Onix Ltz 1.0,$70.000.000,2023,13300
Chevrolet Onix 1.0t Mecánica,"$59.500.000,00",2021,57080
Chevrolet Onix lt 1.0,$74.000.000,2023,8000
Chevrolet Onix 1.0t Mecánica,$72.000.000,2023,24306
Chevrolet Onix 1.0t Mecánica,$69.990.000,2023,9600
Chevrolet Onix 1.4 Ltz Aut,$58.000.000,2021,26125
Chevrolet Onix 1.4 Ltz Aut,$70.900.000,2023,25500
Chevrolet Onix 1.0t Automática,$71.990.000,2022,24147
Chevrolet Onix 1.0t Automática,$70.900.000,2023,25500
Chevrolet Onix  2018,$41.900.000,2018,69000
Chevrolet Onix Rs Turbo Ac 1.0 5p 4x2 Tm,$61.500.000,2021,56333
Chevrolet Onix Premier Turbo 1.0,$75.000.000,2023,3500
Chevrolet Onix turbo rs 1.0,$71.000.000,2023,9800
Chevrolet Onix 1.0t Automática,$63.000.000,2021,62000
Chevrolet Onix 1.0t Automática,$72.900.000,2023,9300
Chevrolet Onix 1.0T Rs Mt,$47.500.000,2021,39300
Chevrolet Onix 1.0T Rs Mt,$66.500.000,2022,19113
Chevrolet Onix 1.0t Automática,$73.900.000,2023,16285
Chevrolet Onix 1.4 Ltz 5 p,$39.500.000,2020,84000
Chevrolet Onix 1.0t Automática,$73.900.000,2023,9000
Chevrolet Onix 1.4 Ltz,$51.500.000,2019,55694
Chevrolet Onix 1.4 Ltz 5 p,$45.900.000,2018,70000
Chevrolet Onix 1.0t Mecánica,$55.900.000,2021,38400
Chevrolet Onix 1.0t Automática,$63.900.000,2021,54000
Chevrolet Onix Rs 1.0,$68.000.000,2023,6000
Chevrolet Onix 1.0t Mecánica,$68.990.000,2023,0
Chevrolet Onix 1.4 Ltz Aut,$47.500.000,2019,54700
Chevrolet Onix 1.0t Mecánica,$74.990.000,2023,0
Chevrolet Onix Hb Premier 2024,$88.990.000,2024,0
Chevrolet Onix 1.4 Ltz Automática,$42.500.000,2017,78000
Chevrolet Onix 1.0t Mecánica,$59.900.000,2021,19500
Chevrolet Onix 1.0t Automática,$58.500.000,2022,20000
Chevrolet Onix 1.0t Mecánica,$57.900.000,2021,48000
Chevrolet Onix 1.4 Ltz Aut,$47.000.000,2019,50000
Chevrolet Onix 1.0t Mecánica,$58.990.000,2023,13200
Chevrolet Onix 1.0t Mecánica,$51.200.000,2021,77000
Chevrolet Onix 1.0T Rs Mt,$61.000.000,2023,24400
Chevrolet Onix 1.0T Rs Mt,$65.800.000,2023,18800
Chevrolet Onix 1.0T Rs Mt,$59.000.000,2022,24000
Chevrolet Onix 1.0t Mecánica,$55.900.000,2021,29000
Chevrolet Onix RS 1.0T Mecánica,$55.500.000,2021,44000
Chevrolet Onix 1.0T Rs Mt,$64.500.000,2023,16000
Chevrolet Onix 1.0t Mecánica,$54.900.000,2022,22000
Chevrolet Onix Rs 1.0T,$59.900.000,2023,23350
Chevrolet Onix 1.0 Premier Turbo,$57.900.000,2019,37055
Chevrolet Onix 1.0T Rs Mt,$60.800.000,2023,25000
Chevrolet Onix 1.0T Rs Mt,$59.990.000,2022,28000
Chevrolet Onix 1.4 Ltz 5 p,$40.000.000,2018,71000
Chevrolet Onix 1.4 Ltz,$46.000.000,2020,52874
Chevrolet Onix 1.0t Automática,$62.900.000,2023,11600
Chevrolet Onix 1.0T Rs Mt,$67.900.000,2023,9800
Chevrolet Onix 1.0T Rs Mt,$75.000.000,2023,18900
Chevrolet Onix 1.4 Ltz Aut,$55.000.000,2021,62500
Chevrolet Onix 1.4 Ltz Aut,$45.900.000,2019,47000
Chevrolet Onix 1.0t Automática,$59.900.000,2021,29900
Chevrolet Onix 1.4 Ltz Aut,$46.900.000,2019,74600
Chevrolet Onix 1.4 Ltz 5 p,$50.500.000,2018,98000
Chevrolet Onix 1.4 Ltz,$46.900.000,2020,35000
Chevrolet Onix 1.0T Rs Mt,$67.500.000,2023,13571
Chevrolet Onix 1.0t Automática,$68.900.000,2023,9500
Chevrolet Onix 1.4 Ltz,$45.990.000,2019,45000
Chevrolet Onix 1.0t Automática,$58.500.000,2023,29000
Chevrolet Onix 1.0t Automática,$58.900.000,2023,25000
Chevrolet Onix 1.4 Ltz Aut,$46.500.000,2019,49000
Chevrolet Onix 1.0T Rs Mt,$58.900.000,2022,37500
Chevrolet Onix Premier Turbo Hb,$74.900.000,2023,4300
Chevrolet Onix 1.4 Ltz Aut,$46.900.000,2020,59000
Chevrolet Onix 1.4 Ltz 4 p,$46.900.000,2020,54000
Chevrolet Onix Onix Turbo Premier,$65.000.000,2023,22000
Chevrolet Onix 1.4 Ltz 5 p,$43.000.000,2020,62400
Chevrolet Onix 1.0T Rs Mt,$64.900.000,2023,2970
Chevrolet Onix 1.0T Rs Mt,$60.000.000,2022,36000
Chevrolet Onix 1.0t Mecánica,$52.900.000,2021,49000
Chevrolet Onix 1.4 Ltz Aut,$50.990.000,2019,64867
Chevrolet Onix 1.0l Turbo Rs,$66.900.000,2023,5200
Chevrolet Onix 1.4 Ltz At,$42.500.000,2016,84392
Chevrolet Onix 1.4 Ltz,$38.000.000,2016,107524
Chevrolet Onix 1.0 Rs,$70.990.000,2023,15452
Chevrolet Onix 1.4 Lt,$42.990.000,2019,57000
Chevrolet Onix 1.4 Ltz 5 p,$49.890.000,2020,15400
Chevrolet Onix 1.4 lt automatico,$61.000.000,2022,12000
Chevrolet Onix Ltz Automática,$43.600.000,2018,73000
Chevrolet Onix 1.4 Ltz 4 p,$49.900.000,2020,64650
Chevrolet Onix 1.4 Lt,$45.500.000,2020,61400
Chevrolet Onix 1.0T Rs Mt,$61.000.000,2022,12000
Chevrolet Onix 1.0t Automática,$60.000.000,2021,77238
Chevrolet Onix Ltz,$69.930.000,2023,7355
Chevrolet Onix 1.4 Ltz Aut,$49.000.000,2020,32000
Chevrolet Onix 1.0t Automática,$58.990.000,2023,19200
Chevrolet Onix Premier Turbo Hb 2023,$67.900.000,2023,8000
Chevrolet Onix 1.0t Automática,$68.900.000,2023,8876
Chevrolet Onix 1.0t Automática,$54.000.000,2022,2600
Chevrolet Onix 1.4 Active,$45.900.000,2018,41000
Chevrolet Onix 1.0t Mecánica,$56.000.000,2022,17700
Chevrolet Onix 1.4 Lt,$45.500.000,2020,38000
Chevrolet Onix 1.0t Mecánica,$55.000.000,2021,43000
