car_model,price,year_model,kms
Chevrolet Onix 1.0t Automática,$60.000.000,2021,53000
Chevrolet Onix 1.0t Automática,$62.900.000,2022,30000
Chevrolet Onix Turbo Premier,$76.500.000,2023,8620
Chevrolet Onix 1.0T Rs Mt,$67.500.000,2023,11300
Chevrolet Onix 1.4 Ltz 5 p,$53.000.000,2020,30000
Chevrolet Onix 1.4 Ltz 5 p,$39.500.000,2018,95000
Chevrolet Onix 1.0t Mecánica,$69.500.000,2023,84
Chevrolet Onix 1.0T Rs Mt,$61.800.000,2023,9450
Chevrolet Onix 1.4 Ltz Aut,$49.900.000,2020,54678
Chevrolet Onix 1.4 Ltz 5 p,$50.000.000,2019,36700
Chevrolet Onix 1.0t Automática,$66.000.000,2021,13000
Chevrolet Onix 1.4 Ltz 5 p,$48.000.000,2019,64000
Chevrolet Onix 1.0t Mecánica,$54.500.000,2021,45500
Chevrolet Onix 1.4 Ltz Aut,$48.000.000,2019,67000
Chevrolet Onix 1.0t Automática,$74.000.000,2023,9200
Chevrolet Onix 1.0t Automática,$60.000.000,2022,36100
Chevrolet Onix 1.0t Automática,$74.000.000,2023,6360
Chevrolet Onix Active 1.4,$44.800.000,2018,65000
Chevrolet Onix 1.0t Mecánica,$51.000.000,2020,89702
Chevrolet Onix 1.4 Lt,$45.000.000,2020,35000
Chevrolet Onix 1.4 Ltz Aut,$40.000.000,2018,64000
Chevrolet Onix 1.4 Ltz Aut,$42.000.000,2018,93000
Chevrolet Onix 1.0t Mecánica,$62.000.000,2021,31500
Chevrolet Onix 1.0t Mecánica,$60.000.000,2022,22000
Chevrolet Onix 1.0t Automática,$76.000.000,2023,3700
Chevrolet Onix 1.4 Lt,$44.000.000,2018,73000
Chevrolet Onix 1.4 Lt,$47.000.000,2018,32000
Chevrolet Onix 1.0t Automática,$60.500.000,2022,12600
Chevrolet Onix 1.0t Mecánica,$65.000.000,2023,11000
Chevrolet Onix 1.4 Ltz 4 p,$48.000.000,2019,56000
Chevrolet Onix 1.4 Ltz,$39.000.000,2016,75199
Chevrolet Onix 1.0t Mecánica,$59.000.000,2021,40000
Chevrolet Onix 1.4 Ltz Mecánica,$42.500.000,2017,91620
Chevrolet Onix 1.0t Automática,$64.800.000,2022,22928
Chevrolet Onix 1.0t Automática,$67.000.000,2023,15000
Chevrolet Onix 1.4 Ltz Aut,$42.000.000,2018,68500
Chevrolet Onix 1.4 Ltz 4 p,$51.900.000,2019,70000
Chevrolet Onix 1.0t Mecánica,$53.000.000,2021,44000
Chevrolet Onix 1.0t Mecánica,$54.500.000,2021,45000
Chevrolet Onix 1.0t Automática,$50.000.000,2021,90000
Chevrolet Onix 1.0t Automática,$62.000.000,2022,20000
Chevrolet ,$60.000.000,2022,17000
Chevrolet Onix 1.4 Ltz,$35.000.000,2016,140000
Chevrolet Onix 1.4 Ltz 5 p,$53.000.000,2021,45000
Chevrolet Onix 1.0T Rs Mt,$75.000.000,2023,3064
Chevrolet Onix 1.0t Mecánica,$60.000.000,2022,9000
Chevrolet Onix 1.0t Mecánica,$56.800.000,2021,24400
Chevrolet Onix 1.0t Automática,$71.000.000,2023,18000
Chevrolet Onix 1.0t Automática,$70.000.000,2023,57000
Chevrolet Onix 1.0t Automática,$63.500.000,2022,17600
Chevrolet Onix 1.0t Automática,$62.800.000,2022,16000
Chevrolet Onix 1.0t Mecánica,$66.500.000,2023,25000
Chevrolet Onix 1.0t Automática,$51.000.000,2021,36000
Chevrolet Onix 1.4 Ltz 5 p,$45.000.000,2020,64000
Chevrolet Onix 1.0t Mecánica,$58.000.000,2021,46500
Chevrolet Onix 1.4 Ltz 5 p,$49.900.000,2019,53000
Chevrolet Onix 1.4 Ltz Aut,$39.000.000,2018,82000
Chevrolet Onix 1.4 Ltz,$41.500.000,2019,40000
Chevrolet Onix Turbo Premier Premier,$62.500.000,2021,58000
Chevrolet Onix 1.0t Mecánica,$62.000.000,2021,49000
